Guid,AccountId,AssistantName,AssistantPhone,Birthdate,CleanStatus,Department,Description,Email,EmailBouncedReason,Fax,FirstName,HomePhone,Jigsaw,Languages__c,LastName,LeadSource,Level__c,MailingCity,MailingCountry,MailingGeocodeAccuracy,MailingLatitude,MailingLongitude,MailingPostalCode,MailingState,MailingStreet,MobilePhone,OtherCity,OtherCountry,OtherGeocodeAccuracy,OtherLatitude,OtherLongitude,OtherPhone,OtherPostalCode,OtherState,OtherStreet,Phone,Salutation,Title
8a999926-6d97-4908-9d07-42dbd691db3f,8395855a-0f98-4edb-9734-cb8c6a4558c0,"#N/A","#N/A",1953-11-09,Pending,Finance,"#N/A",barr_tim@grandhotels.com,"#N/A",(312) 596-1500,Tim,"#N/A","#N/A",English,Barr,External Referral,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2335 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",(312) 596-1230,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(312) 596-1000,Mr.,"SVP, Administration and Finance"
9d5391dc-eb7a-4cfc-aa40-16eff8719452,b77becc5-5020-41c4-90c4-bb940e249dda,Ron Sage,(503) 421-6782,1937-02-20,Pending,Operations,"#N/A",b.levy@expressl&t.net,"#N/A",(503) 421-7801,Babara,"#N/A","#N/A",English,Levy,Word of mouth,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",(503) 421-5451,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(503) 421-7800,Ms.,"SVP, Operations"
ad1abf37-6724-4b9c-8681-dd257a9dc038,598d1f19-80aa-4fac-808a-fbfba10e71b8,"#N/A","#N/A",1942-05-26,Pending,Technology,"#N/A",efrank@genepoint.com,"#N/A",(650) 867-9895,Edna,"#N/A","#N/A",English,Frank,Partner,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","345 Shoreline Park
Mountain View, CA 94043
USA",(650) 867-7686,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 867-3450,Ms.,"VP, Technology"
b411e775-9371-4b7f-b2c6-d1cc5f63b537,4217ad27-9434-4ff6-bbee-82880a515c69,"#N/A","#N/A","#N/A",Pending,"#N/A","#N/A",jrogers@burlington.com,"#N/A",(336) 222-8000,Jack,"#N/A","#N/A","#N/A",Rogers,Web,"#N/A",Burlington,USA,"#N/A","#N/A","#N/A",27215,NC,525 S. Lexington Ave,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(336) 222-7000,Mr.,"VP, Facilities"
bd58813a-e9a4-4ebc-9985-22fadcfe37d0,16e36b91-ef7f-42d0-b058-209d7b7e48f8,"#N/A","#N/A","#N/A",Pending,"#N/A","#N/A","#N/A","#N/A","#N/A",Siddartha,"#N/A","#N/A","#N/A",Nedaerk,"#N/A","#N/A",San Francisco,US,"#N/A","#N/A","#N/A",94087,CA,The Landmark @ One Market,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Ms.,"#N/A"
bed1e453-31fa-4b2c-8de0-7b2f4f71c947,953e692d-a6e4-40ce-8bfd-7d104486c1d9,"#N/A","#N/A",1944-05-03,Pending,Administration,"#N/A",jane_gray@uoa.edu,"#N/A",(520) 773-9060,Jane,"#N/A","#N/A",English,Grey,Word of mouth,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",(520) 773-4539,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(520) 773-9050,Ms.,Dean of Administration
c4102a32-4e53-4d7b-b909-8fedacd1047d,5218347d-ed65-4cbf-8313-fcb09d217e98,"#N/A","#N/A",1946-07-12,Pending,Finance,"#N/A",ajames@uog.com,"#N/A",+44 191 4956620,Ashley,"#N/A","#N/A",English,James,Public Relations,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",+44 191 3456234,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+44 191 4956203,Ms.,"VP, Finance"
d13929a3-8631-45e1-8182-90ddb1a0aa08,550a87d8-1bd6-427e-a47e-93a6254de155,"#N/A","#N/A",1968-03-15,Pending,Procurement,"#N/A",rose@edge.com,"#N/A",(512) 757-9000,Rose,"#N/A","#N/A",English,Gonzalez,Trade Show,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","313 Constitution Place
Austin, TX 78767
USA",(512) 757-9340,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(512) 757-6000,Ms.,"SVP, Procurement"
d2434c08-6022-449f-97c0-2b4725a69f1b,ead4d8c2-5350-418a-b11b-d4e15a7ab7ed,Chris Nobel,(212) 842-5428,1933-10-13,Pending,Finance,"#N/A",agreen@uog.com,"#N/A",(212) 842-5501,Avi,"#N/A","#N/A",English,Green,Public Relations,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1302 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-2383,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 842-5500,Mr.,CFO
fb84df6f-875c-4da6-bf9a-30b200116714,550a87d8-1bd6-427e-a47e-93a6254de155,"#N/A","#N/A",1946-12-12,Pending,Finance,"#N/A",sean@edge.com,"#N/A",(512) 757-9000,Sean,"#N/A","#N/A",English,Forbes,Trade Show,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","312 Constitution Place
Austin, TX 78767
USA",(512) 757-4561,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(512) 757-6000,Mr.,CFO
